Match,Team,Over 1,Over 2,Over 3,Over 4,Over 5,Over 6,Over 7,Over 8,Over 9,Over 10
Match 1,Braves,5/0,8/1,18/2,33/2,48/2,60/2,70/2,81/2,87/3,99/5
Match 2,Delhi Bulls,3/1,16/2,18/2,43/2,56/3,62/4,65/5,72/6,105/6,123/6
Match 3,Bolts,9/2,25/2,34/3,51/3,59/3,78/3,95/3,114/3,130/4,142/6
Match 4,Gladiators,7/0,20/0,34/0,45/0,66/0,78/0,104/0,113/0,134/2,147/2
Match 5,Bangla Tiger,9/0,11/2,17/2,31/2,33/4,39/4,48/4,53/5,56/7,66/8
Match 6,Nawabs,7/1,22/2,30/2,35/2,42/3,54/4,69/4,81/5,93/6,98/7
Match 7,Delhi Bulls,8/0,14/1,20/2,35/2,47/2,74/2,90/3,99/4,112/4,126/5
Match 8,Delhi Bulls,6/0,16/0,28/1,42/1,58/2,67/3,80/3,89/3,98/4,109/6
Match 9,M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Match 10,Samp Army,9/0,16/0,34/0,51/2,65/3,85/4,90/5,95/7,108/7,109/10
Match 11,Bangla Tiger,10/1,17/3,28/4,32/4,37/4,46/4,50/5,57/6,65/6,72/6
Match 12,Gladiators,11/1,26/1,37/2,46/2,53/4,60/4,87/4,99/5,111/6,112/9
Match 13,Gladiators,11/0,18/1,28/2,43/2,50/3,57/3,78/3,101/3,111/3,137/3
Match 14,Bangla Tiger,6/0,16/0,23/0,31/0,44/0,46/3,56/3,67/3,77/3,87/4
Match 15,Braves,4/1,13/1,28/1,43/1,63/1,73/1,90/1,109/1,125/2,141/2
Match 16,Strikers,6/1,23/1,27/2,44/2,48/3,58/3,68/4,71/5,72/6,74/6
Match 17,Gladiators,14/0,32/0,42/0,53/1,58/2,72/2,81/2,82/4,93/4,102/5
Match 18,Nawabs,4/0,8/3,13/3,20/4,29/5,32/6,41/7,50/8,51/9,51/10
Match 19,Samp Army,3/1,16/1,27/1,39/2,52/2,68/2,73/3,81/4,98/4,112/5
Match 20,Bolts,1/2,4/2,17/2,20/2,36/2,42/4,56/4,73/4,78/5,80/6
Match 21,Bolts,14/0,23/1,28/2,33/3,36/4,46/5,66/5,69/6,75/7,79/8
Match 22,Bangla Tiger,6/0,17/0,22/1,28/1,34/1,42/1,49/1,62/1,75/1,106/1
Match 23,Braves,6/0,14/1,21/2,34/3,45/4,49/4,61/4,77/4,92/4,103/5
Match 24,Delhi Bulls,6/0,21/0,43/0,59/0,77/0,90/0,97/1,113/2,140/2,158/3
Match 25,Gladiators,18/0,38/0,50/0,66/0,75/0,92/0,97/1,110/2,116/3,128/3
Match 26,Braves,6/0,18/1,28/1,42/2,50/2,65/3,72/3,76/5,91/5,97/6
Match 27,Warriors,16/1,21/1,27/2,40/2,52/3,62/3,95/3,111/3,125/4,142/4
Match 28,Warriors,11/0,22/0,24/1,33/1,49/1,59/2,69/3,94/3,99/4,107/5
Match 29,Samp Army,6/0,13/0,35/0,44/0,61/0,67/1,88/1,98/1,123/1,135/1
Match 30,Gladiators,10/0,28/1,30/2,34/3,51/3,54/4,72/4,83/5,110/5,134/5
Match 31,Bolts,12/0,36/0,51/0,59/0,71/0,80/1,90/1,100/1,117/1,133/1
Match 32,Warriors,7/0,22/0,34/1,45/2,46/4,51/4,52/7,59/8,60/9,73/9
Match 33,Warriors,11/0,18/0,27/0,35/1,48/1,56/2,67/2,71/3,88/3,111/3
Match 34,Nawabs,7/0,22/0,34/0,53/0,60/1,77/2,91/3,107/3,113/4,124/4
Match 35,Abu Dhabi,2/1,9/2,20/3,28/4,36/4,42/5,44/5,50/7,58/7,73/7
Match 36,Samp Army,17/0,23/0,36/0,40/1,51/2,59/3,80/4,88/5,92/5,102/5
Match 37,Braves,9/0,17/1,23/2,36/2,55/2,72/2,84/3,93/3,99/4,104/6
Match 38,Samp Army,2/1,14/1,22/2,34/2,40/3,55/4,66/4,82/5,87/6,100/7
Match 39,Strikers,17/1,32/1,40/2,51/2,58/4,59/6,64/6,72/6,82/8,83/9
